User_Name,User_Location,Stars,Entry_Date,Entry_Quote,Entry_Content
Brian R,,5,04/09/2018,Citibike is my favorite part of my 4 years in NYC!,"I have been using Citibike for 4 years in New York City for commuting, leisure, and when family/friends visit the city. It is such a great way for me to commute to work (2 miles through midtown, ~12 minutes). It is much faster, and a much nicer way to travel through the city than by car, bus, or subway. I really enjoy using Citibike to get around the city 7 days a week, and I love getting bikes with family and friends when they visit! It truely is a great way to see the city, as well as getting ""from A to B"" efficiently. I feel that any complaints I have read in these reviews are completely unwarranted, and have been made by people who have not read the agreement or understood the rules. Yearly members have 45 minutes bike rides included, while day trip users get 30 minute rides (before incurring additional fees). These rules are made very clear before purchasing anything. There is a deposit that will be held on your credit card, similar to when you rent a hotel. This is a necessary part of the program.  The Citibike app lets you know exactly where the bike stations are, and how many bikes/stations are available to help you plan your rides in advance. I have had only one or two issues in 4 years with citibike, and have been promptly helped by Citibike staff over the phone. If the 30 minute time limit does not suit your needs, I would plan on paying overage fees, or finding alternate transportation. Citibike really isn't suited for long, leisurely trips. I see it a more of an efficient method for people to get around the city - while enjoying being outside and getting exercise. Hope this helps answer some questions people may have!"
Zaki H,,1,04/06/2018,Huge RIP OFF - Better off walking 100%,"Rented a bike, first of all the code for the rental disappears after like 10 seconds and they dont tell you that you'll need it in the future and instead of texting you the code they text you some other useless information that you dont need. You then spend 15 minutes trying to get the code to unlock the bike that you already paid for. After that, you take the bike out (which had sticky residue on the handle bar) and you can enjoy it for about 10 minutes or so before you have to worry about finding another citibank bike location to return it in. GOD FORBID YOU ARE 7 MINUTES LATE TO RETURN IT YOU WILL GET CHARGED 35% OF THE RENTAL COST. After calling and nicely asking them to wave it, i got told to pound sand and that i am liable for all the charges. USELESS SERVICE ALL AROUND."
dlocke49,"Richardson, Texas",1,04/03/2018,RIP OFF BIG TIME!,The 30 minute time limit thing is ridiculous. You never know how much they are charging you even when you bring the bike back within 30 mins. This is another scam for tourists. I am going to fight them tooth and nail to get my money back. They over charged me $100. Crazy. Don't use these bikes or you will get ripped off!!!!
GlobetrotterDK1967,"Charlottenlund, Denmark",5,03/30/2018,Citi Bike is the best thing in NY,"I can highly recommend Citi Bike as it is easy to use and come with an app with maps over all Bike routes in and around NY. 12,000 bikes to use all over the citi. Be street smart and change the bike every 30 min and it will cost you less an $10 a day. Love it. "
digital_niche,,4,03/29/2018,Cycle and scenery,"The bicycle rentals are easy (with a credit card) and a good way to see more in less time. Cycling through the city might be a bit tricky and dangerous if you are not confident. The route along the Hudson is a better alternative to navigating through city streets or even the very crowded central park route. Just familiarise yourself with the stations to revalidate. I did not have the app on my phone, but it would be a great help and recommended."
RoeckeWilli,"Ithaca, New York",5,03/12/2018,Be sure to load the Citibike app on your phone,Used Citi-bike to get back and forth between Columbus Circle and West Village. It was breeze. Nice bike lanes on 9th and 8th Avenues. You may want to bring your own helmet. I never felt unsafe even when riding in traffic as the cars don't move that much faster than you.
ZATrav,,3,03/06/2018,OK,"ProsNo human interaction requiredEasy touchpad activationReasonably easy to useConsNo helmet providedSuper heavyGears slipping in 3rd when pedaling uphillExpensive and high charge for going over 30 min.I guess I am just used to much better, lighter, faster bikes."
Thinktravelj,"Lakeland, Florida",5,02/16/2018,Riverside ,The bike rentals in NYC are a good way to travel but you are under a rental clock. Spontaneous stops are limited but a summer ride is a good thing to do in NYC. Citi bikes are maintained regular so it’s a less risk than random bike shop. Get fit. Have fun. Bike fit on vacation. 
TalithaMM,"Arnhem, The Netherlands",4,02/14/2018,Ideaaal!!,Perfect way to go around NY!! You do have to return to a check point every 30 min but they are everywhere :)!
trainman2017,"Lancashire, United Kingdom",2,02/13/2018,30 minutes not long enough,"This is a great idea. But this issue I found was that some locations (not always tourist areas) had so few bikes. On one occasion I was nearing the 30 minute mark, so went to ""re-hire"" the bike only for a local who had the Annual Pass and therefore a ""button"" to unlock the bike take the bike from me when I was trying to re-enter my details on the machine. As there were no other bikes for hire, I then had to walk to another location to get a bike.First time I was so shocked I didn't know what to say. The second time I was prepared, I saw what was about to happen and made a scene. The guy was so shocked I ended up getting ""my"" bike.It is also very easy to go over the 30 minutes and get hit with the additional charges.As a concept it is great idea and I loved cycling in Central Park and down the side of the Hudson River. I think one hours hire would be more useful."
Anthonycsz,,1,02/05/2018,Please beware. Ripoff. Scam,I visited ny city with my wife... we used city bike a couple of times always careful not to pass the 30 minute barrier. On my credit card the surprise was astonishing. Over 120 euros. Absolute rip-off. The worst thing is that you cant do anything about it. Never again. I absolutely recommend you keep away from this service. They will charge your card
Erin S,"Gold Coast, Australia",4,02/05/2018,"Easy to get around, Great value for money!","I'm a bit of a fangirl when it comes to riding bikes through new cities. What better way to explore a city than on a bike? New York citibikes will set you back just $12 (plus like $1.50 tax) for 24 hours of unlimited riding. All you have to do is download their app and buy a day pass. The app shows you where all the citibike stations are on a map and you can go to anyone you like a pick out a bike. You use a code on your phone to unlock the bike and off you go. There is one catch with the day passes. You need to dock the bike every 30 minutes or you will be charged $4 for every 15 minutes extra you spend on the bike. I guess this is done to curb cases of damaged and stolen bikes. It's not so bad to dock them every 30 minutes as there's so many citibike stations around New York. 24 hours of bike riding for $12 is a pretty great deal. I would recommend going to the west side of the island near the cruise terminals and grabbing a bike there. The bike path that runs along the West Side Highway is smooth and easy to navigate, plus the views are amazing. Ride down the West Side highway, through Battery Park and onto the Brooklyn Bridge. If at any point you get sick of riding you can always dock your bike and catch a subway to wherever you need to go. I would highly recommend using citibike while you're in NYC, like I said before the only downside is the 30 minute rides but it's okay as long as you keep an eye on the time."
farahh706,"New York City, New York",5,01/30/2018,Biking NYC!!,"We don't have bike share where I'm from so I did need convincing from my friend who lives in NYC. Thankfully she did, because citi bike is a fun way to see the sights around Central Park and you can leave the bikes right by all the major museums. Just make sure you see the green light when you return the bike and you don't get charged extra. Not hard and more fun than car traffic and angry cab drivers. "
Pavly D,,5,12/31/2017,best way of transportation in NYC,Perfect way for transportation in such a traffic jammed city..but watch your time to not exceed your 30 minutes ride or you can dock your bike and take another bike to open a new 30 minutes
237dk,"Armonk, New York",5,12/19/2017,Sweet system,"Rode over the Brooklyn Bridge at dawn on my first Citi Bike experience, then over to the 911 memorial. What a sweet system. I totally loved it. I suggest looking for bikes with the rotating black gear shift and not the little silver dial. Check the lights before you go. Thirty minute check in is a little tight but workable. Just a beautiful idea though. "
Xavier C,"Kyoto, Japan",5,11/27/2017,I love Citi Bike,"Having been a CB member since the launch, I’ve logged more than 2000 rides, totaling 3600+ miles, which has accounted for 484 hours of exercising moderately and burning an estimated 155,000 calories. All that and it’s much less than $0.50 per ride - where can you get such a bargain? Yes, it is important to be aware of drivers - but now with so many of us out there, we have mostly taken our rightful share of the roads. It would be great to have more bike lanes that are protected by parking lanes ... but I guess de Blasio does not feel the “ownership” that Bloomberg did- so it does not seem like further expansions are to be forthcoming. Too bad, but it’s still an excellent addition to our transportation network. Hurray for Citi Bike! "
Matthew W,,5,11/13/2017,THE BEST WAY TO GET AROUND NYC!,"Citi Bike is the fastest, safest way to get around NYC. It's the perfect way to explore if you're a new visitor the the city. I've been a member for 5 years and I love it. You can of course buy a daily pass too if you're visiting. But Honestly Citi Bike is best for when you get out of the subway and instead of walking 20 minutes to your final destination, you can bike there in 5min! It's a huge time saver. And if you're worried about safety, don't be! The bikes are designed for you to sit higher up so cars can see you better and New York has some of the best protected bike lanes in the world! oh and the Citi bike App on the App Store or Google Play store keeps you up to date with real time counts so you always know where to dock you bike!"
WILLIAM L,"Miami, Florida",4,11/11/2017,Visiting a friend in NYC for the week.,"This is my second time using Citi Bike. This is the fastest, most economical way to travel around Manhattan. I bought a 3-day pass and it was an enormous value for me. I love the convenience of picking up the bike and dropping it off very quickly then being on my way to whatever activity. The only drawback for me what's some kiosks, for some strange reason were shut down. This left me to have to go to the next kiosk in the neighborhood. The great thing is the app for the smartphone shows you where the kiosks are in your proximity and if they have a bike or a dock where I can leave the bicycle. The latest bicycle model available, allows you to adjust your speed without being limited to only the previously 3 speed increments. This allows you to take hills with ease. I bought a bike helmet at the Goodwill before I came to New York and I leave it at my friend's place for me to use. All in all I'm a very satisfied customer. I just received a $6 discount now for my next rental!"
southernhiker,"Raleigh, North Carolina",5,11/10/2017,Great way to get around Central Park at night,"Due to this being a business trip to NYC, we only had our evenings free. I wanted to visit Central Park and loved the idea of renting CitiBikes to view more of Central Park than if we were walking. The app was downloaded and we picked out our bikes after being given a code to unlock them. At first we couldn't figure out how to turn on the headlights, but then realized that the headlights and taillights turn on automatically when you start pedaling. There was an open basket up front that had an elastic band to tie things down. Yes, if you don't want to be charged more than the $12 day rate, you need to take it back to a bike station every 30 minutes. This was not an issue for us as there are stations all over the outskirts of Central Park. Fun experience that we would recommend to others. "
Julia V,,1,10/31/2017,"HUGE LETDOWN, charged for their mistakes","LOVE the concept of a bike sharing program, but was VERY disappointed with citibike and their customer service. I was charged $164 because the sensor on the bike rack did not register that the bike had been returned. When I contacted customer service to find out where the charge came from they told me they could only refund me $60 of the $164 charge, even though the mistake was due to a faulty sensor/locking system on their bike racks. To make matters worse I rented three bikes that day for a 24 hr period, we were only able to use the three bikes for one trip. As we tried to unlock the bikes for a second trip, it only gave us one access code for one bike, so we paid for three bikes but only received one. VERY disappointing, not just that we werent able to use the bikes the full period we paid for but that citibike was unwilling to work with me to fix their mistake."
Anthony M,"San Francisco, California",2,10/28/2017,Not for tourists. Overpriced!,"I'm an avid bike rider and commute to work daily. Citibike advertises itself as a great opportunity for tourists but that's a joke. My daughter and I paid $12 each for a daypass - unlimited 30 minute rides. But the distances you can actually GO in 30 minutes are fleeting. 2 of 3 rides ended up being over the limit. One was 33 and one was 32 minutes. For that extra 5 minutes, we were charged $8.71 each. (They stuck tax on the $4 overage each time.)"
jeathrey,"Clinton, Connecticut",5,10/28/2017,Citibiking From Harlem to Brooklyn ,"For just $12, saw a lot of great sites in NYC! Started at Harlem 125th docking station, made way to Central Park. Plenty of docking stations to return bike every 30 minutes so as to not incur additional fees. NYC is really bike-friendly with plenty of designated lanes, just use your Citibike app to see where the lanes are. After hiking around the Park, ended up taking subway to City Hall and then grabbed Citibikes for a trip over the pedestrian-congested Brooklyn bridge...use your bell to clear the way! Then rode around picturesque Brooklyn neighborhoods that were all decked out for Halloween, along waterfront for amazing views of lower Manhattan, then into the cobblestone streets under the Brooklyn bridge. After footing around there, got a Citibike and headed back over the bridge. Highly recommend using Citibike if you’re looking for a fun, new, inexpensive way to see the city! Make sure you have the app and be diligent about watching your time and having an idea of where you want to go so you don’t incur those extra fees after 30 minutes! Happy Citibiking!"
V4531HPtimc,"London, United Kingdom",5,10/28/2017,Excellent well managed system,I come from London and we have a similar system that I do use relatively frequently. First time using citibike and found it an excellent service. Plan your trips. Nyc is easy to navigate and you can get quite a distance in 20-25 mins Leaving plenty of time to find your dock and walk to the next station if you need to travel further. 
FRENCHTOAST81,"Bayonne, New Jersey",2,10/25/2017,EXPENSIVE HOUR BIKE RIDE... 30 MIN RIDE..DOCK IT IF AVAILABLE SO YOU WONT BE CHARGED!,"Please read the fine print and understanding on the citibike, If you are renting for the first time. You are only ALLOWED 30 MINUTES at $12.00 plus tax to ride the bike, after 30 mins you MUST dock the bike and pick up another bike, If you KEEP the bike longer than 30 MINUTES , you will be AUTOMATICALLY charged $4 per every 15 minutes over! Paying $26.00 FOR AN HOUR BIKE RIDE IS A RIP OFF! NEVER AGAIN. "
DonTomasdeLA,Los Angeles,5,10/17/2017,Learn how to use and ENJOY,"my friend and I spent 6 days using citibikes in September. Like so may say, it was a major highlight of our trip. We did two 3 day passes and purchased the $5 keys so we didnt have to use codes. It's true you can only ride in 30 minute segments but we planned trips and the bikes are EVERYWHERE. Only a few of our trips took two segments. Whenever possible take the westside bikepath along the river. It is very fun and QUICK. Granted we had great weather but we plan to take Citibike whenever we are in NYC again. It was fun and saved us a TON of money. We were in midtown and could go downtown in about 11 minutes. People who complain here did not bother to LEARN how to use the system. Downloading the app and reading beforehand helps a lot. If you are uncertain, try for 24 hours. You will never have more fun in NYC for $12. TRY IT."
joanieb52,"Hopkinton, Massachusetts",1,10/12/2017,Used Citi Bike to follow someone on 18 mike run,Very inconvenient. Needed to find docking stations every 30 min and then had to wait 2 minutes to take another one out. Final charge was $30.44 for 3 hours...missed 2 docking stations by 3 minutes and the last docking station by 20 minutes because the station in central park was closed due to an event going on.Do not take out if you are going longer than 30 min!!!
Noah W,,1,10/04/2017,Crooks,"What a racket. They charged me an extra 17 bucks so I could do tem a favor and take the bike to an empty location went the place I went to take it back was full and so was the next one. Ended up paying the price of an unlimited metrocard 7 day pass for 2 45 minute bike rides. Not worth it. No text about it being late, nothing. Greedy. Should have know by something run by Citi bank, they make all their money on late fees just like a bank."
Karen C,,1,10/03/2017,WORST WASTE OF MONEY,"The Bikes are super heavy. If you're below 5'2 you will barely reach the floor even with the seat all the way down. You have to worry about docking it every 30 minutes.

What a waste of money. Do Not get!"
Sacca62,"Brisbane, Australia",2,10/01/2017,Just don't us it more than 30mins at a time,"While it appears great value @ $12/24 hrs, it's unlimited 30 min trips, not continuous use for 24 hrs - got a nasty surprise on my credit card arriving home ($87) after using it for 1 1/2 hours on Governors Island, now I know why nobody else was using them. When contacted, they agreed to halve the charge. More suited to locals going point A to B, not tourists ambling around for a few hours. Signage could be a bit clearer on this"
danielrW3499PQ,"Windsor, United Kingdom",5,10/01/2017,Great trip,Easy and efficient service great way to experience New York. Had a wonderful time exploring and would highly recommend it to anyone travelling to New York
LarrRose,"Perth, Australia",5,09/30/2017,Made our experince of New York,"Best thing to do in New York, after a while, you feel like a local. The bike paths were really planned out especially along water/ pier areas.A couple of scary moments in the heart of the City - from city walkers, not cars.Caught a few celebrities riding Citi Bikes - Leonardo.Doing this activity was the highlight of the New York experience."
I606BVpeters,"Hook Norton, United Kingdom",5,09/24/2017,Great experience,"Had. Few hours to spare after a business trip, so staying in Queens I booked a $12 day pass and had a great time cycling over Queensboro bridge, around Central Park, went to the Met, Mid town etc. Really handy and easy to use. Great way to see New York. Impressed with how many Citibike stations there are and the bike lanes. Go for it."
nicolastrachan77,"Aberdeen, United Kingdom",5,09/21/2017,The best way to get around Brooklyn,"I have hired similar bikes to this in London so was looking forward to trying it in New York. We had done an organised tour in Manhattan the day before to get our cycle legs and negotiate the extra busy tricky areas. We were staying in Brooklyn and used the bikes to tour Brooklyn, down the Hudson River and to Williamsburg and Greenpoint. The bikes were very simple to use, gears changed easily and were in good condition. There were always bike docking stations within 30 minutes of each one so we had no problem finding a suitable one. Make sure that you know roughly where they are but if you stick to cycle routes there seemed to always be stations. You have to wait 2 minutes between each docking however this gives you time to have a drink and check the next location. On one occasion there were no free docking stands but a quick cycle to the next soon solved that problem. I know some people bemoan this fact but I paid £14 for 24 hours for 2 bikes, travelled miles, visited areas I would not have got the subway to and had a great day. It is nice to be able to dock your bike and leave with no responsibility for it - time for a quick coffee and then back to a new bike. The routes we used were always busy with people and bike certainly seemed to have right of way where we were. I would hire one of these every time I go!"
AndreaSteph1970,"Blackburn, United Kingdom",1,09/20/2017,"Horrendous customer service, docking machines not working and spurious charges made","In theory this is a good way of getting around the city. IN practice, absolutely terrible. We hired 3 bikes on a Saturday and then all the machines where you need to re-dock every 30 minutes all went down. We wasted time trailing to 5 different machines and eventually gave up. When contacting customer service on return to the UK, they are absolutely appalling; ranging from not replying, then replying requesting the same information on numerous occasions and then failing to find our account or any accurate information about our spend. Ended up reporting them to the fraud dept of our credit card company for not refunding but worse still, for adding many spurious costs - don't touch with a barge pole"
gregh53,"Kansas City, Missouri",2,09/19/2017,Watch the fees over 30 minutes of uses,"We rented Citi Bikes while in New York. The fee structure is not well explained at the kiosk. We thought we were paying $12 for a ""day pass."" What is not clear is that it is $12 for a day of 30 minute rides. This is nuts. You need to ride from kiosk to kiosk to return the bike so you can ride for another 30 minutes? I was surprised to see a charge for another $117.50 for usage fees when I got my credit card bill today. Deceptive advertising in my opinion. Beware."
Érika H,,2,09/18/2017,"Good choice, few seasons to leave the bice every 30 min","The cycling experience in New York is great. Unfortunately we rented the bike one day and as there were no nearby stations (with free parking places), the half hour ride was impossible, we paid more for late penalties than for the whole day of service. Brooklyn is a bad idea Citi Bike in Manhattan is better, but the risk is that you arrive at crowded stations and you can not leave the bike and end up paying $ 4, $ 8, $ 12 penalty. Half an hour each time is a very bad idea, would be better 45 minutes, so give time to track stations with free places to leave the bike without suffering what I and my friends live.La experiencia ciclista en Nueva York es estupenda. Desafortunadamente alquilamos la bici un día y como no había estaciones cercanas (con lugares para estacionar libres), el recorrido de media hora era imposible, pagamos más por penalizaciones por demora que por todo el día de servicio. En Brooklyn es una pésima idea la Citi Bike, en Manhattan es mejor, pero el riesgo es que llegas a estaciones llenas y no puedes dejar la bici y terminas pagando $4, $8, $12 de penalización. Media hora cada vez es una muy mala idea, serían mejores 45 minutos, así da tiempo de rastrear estaciones con lugares libres para dejar la bici sin padecer lo que yo y mis amigas vivimos."
James r,,4,09/10/2017,Very nice,Absolutly great ... spend the $5 for the bike key wwweeeellll worth it .i only wish the whole dock the bike every thirty minutes would stop... annoying
Dianne G,,5,09/05/2017,So convenient and economical,Alfonzo was such a help.  He signed us in and make sure we didn't choose the option where you had to return the bike every 30 minutes.  It worked out great.  The only downside was those hills on the north side of Central Park. LOL!
ScotAllen3,"Princeton, New Jersey",4,09/03/2017,Ride=Awesome/Rental=Caution,"One of the greatest ideas for getting around the city ever. Healthy, highly available and will kept bikes in an increasingly bike friendly city.That being said cautions include1 bring your own helmet 2 bikes don't always dock so you are charged overage if you don't dock properly. 3 watch your time it's$4 for every 15m over your allotted 30m segment. I accidentally didn't dock it fully and the bike was missing for 24hrs. CitiBike had a great call center and when the bike was returned I was credited the overage of$139.Get the bikes because they are awesome just be aware and follow the rules."
ari449,"New York City, New York",5,08/30/2017,Citibike Service,Big shout out to Tammy Evans of Citibike who runs the valet docking station at the Plaza Hotel location on 56th and 5th. I'm an annual member and she goes out of her way to help and make sure that the valet station there runs properly. She also walked over a replacement card to my office one day when the old card stopped working. Other valet stations sometimes get full and they don't indicate it on the app but Tammy always make sure they can take your bike there (to avoid the stress of not being able to find a station) so you don't get stuck.
Teryn_LLGT,United States,3,08/28/2017,Don't get overcharged! ,"Apparently there is some small print on the side of the Day Pass terms that you get charged extra if you keep it for more than 30 min at a time. I ended up being charged $26 because I kept the bike for an hour! How dumb is that to have to check-in/check-out a bike every 30 min just to avoid extra fees on a DAY PASS. I'm sure I'm not the only one who has been confused by this, they should make the Day Pass terms more clear. Besides all of that, the bike was a convenient way to bike around Central Park. "
Louise M,"Stroud, United Kingdom",3,08/24/2017,Central Park,We hired bikes from Citi bikes but you have to check in every 30 minutes or you get charged.. so you have to look for a check in area every 20/25 minutes and they are located off Central Park.. which ruined it for us...too much of a tie...wouldn't recommend 
Mll351,"New York City, New York",4,08/24/2017,Can be GREAT....Here's LOCAL advice before you choose this option,"I've been using Citibike since it first started and am a long time NYer. Citi Bike NYC is not for everyone. Some of it is Citi Bike's fault. Some of it is New York's fault. Below is a guide to help you decide if it's right for you.1) 30MIN LIMIT (under 1 year pass)/45MIN LIMIT (annual Pass). The Bike is really cheap, except if you hold it for more than 30 minutes. This is great if you are using Citibike as an alternative form of transport from the subway. Less great if you are hoping for a long bike ride through the city. 2) DON'T USE CITIBIKE FOR THESE ATTRACTIONS: Central park riders will think Citibike is a comparable option to bicycle renters that dot the area. In some ways it is, because the rental companies often charge $30 for 4 hours and you won't likely need the bike the full 4 hours. Central Park is a 6.1mile/10km loop provided you know where you're going. This is a 3 speed, heavy leisure bike. It's actually quite aggressive to try to get around all of Central park in 30 minutes. You can likely find a citibike, get around 2/3rds of it, find a docking kiosk depending on how you plan. A little aggressive, but possible. There aren't Citibike Kiosks yet in Central Park, so you'll be biking in and out, i.e. traffic lights. West Side Highway is a better bet, but watch the clock. Due to weight, traffic lights, and limitations of the bike, I think from 60th Street to Chinatown is the most I can do in 30minutes (about 3.5-4 miles) including undocking/redocking the bike. But I am a marathon runner, who trains regularly for competitions and I know where I'm going and where the kiosks are.3) NO HELMET vs. HELMET. NYers are notoriously bad for using no helmet. At the current moment, you will not get ticketed for failing to use one. 4) BIKE LANES & TRAFFIC RULES. Sometimes you have to ignore them if you don't plan on dying. The US Is behind European Countries for bicycling. The way cars and pedestrians behave, it's more like China, circa 1990 or the Emerging countries of Asia. You have to stay alert. That makes it wild and fun for some, but scares the pants off of others.5) THICK SKIN FOR PEOPLE YELLING AT YOU. NYers are yellers. Cabs, pedestrians, and other bikers will often all exercise their freedom of speech to strongly in their communicate their opinion of one's biking skills. You want to have a humorous attitude toward this and see it as part of the show. 6) BEST AND WORST HOURS. If you're still not deterred, realize that rush hour is the scariest time and early morning (before 7am) is the most serene time. 7) AVOID TIMES SQUARE AND HERALDS SQUARE UNLESS THAT IS YOUR DESTINATION. Even the cars avoid these areas. If you bike in these areas, your issue is pedestrians and they are extremely clueless (sorry... I love you visitors, but you guys tend to be looking up at the buildings, walking in zig zags and at odd angles across the street and it's hard to know what to do on bicycle behind you).8) DOWNLOAD 2 APPS TO HELP YOU. Citibikenyc will tell you in advance whether you're going to a kiosk station with no bikes. This will save you from getting there and burning minutes trying to find an open Kiosk. If there are only 1 or 2 slots, I would not chance it. Citymapper will tell you how long it will take an average cyclist on a heavy citibike can get there. Even if you are a competitive biker, realize pedestrians, construction, and more can get in your way. Until you get a good sense for your timing relative to Citymappers estimates in bicycling, trust Citymapper. 9) DO NOT BICYCLE ON SIDEWALKS. It's way better to bike against traffic than it is to ride on a sidewalk. Pedestrians are more dangerous than cars in this city and you are in the wrong if you hit them vs. a car which will always end up with the ticket. 10) EASIEST CITIBIKE ROUTES. If you just want to check this out and need a path that won't incur overages, get the 24 hour card. Ride along West Side Highway (WSH) doing all the attractions along the Hudson River in order. WSH is by far the safest route, as there are no cars, just pedestrians and other crazy bikers for most of it. Also, you can get a bike at Cityhall or Chinatown and go over to Brooklyn Bridge (preferably before 10am). Park your bike in Brooklyn and check out the water front. Then Ride back on the Manhattan Bridge. Each bridge is 1 very hilly mile. The Manhattan Bridge is slightly less steep and a lot less crowded. If after 10am, walk over the Brooklyn Bridge. May not be as fun to ride it."
ianblane,"Ardsley, New York",5,08/24/2017,"Understand the rules, and you will love Citi Bike.","I saw that almost all the one star reviews had the same complaint. They did not know of the 1/2 hour limit per ride, and they did not know about the credit card hold. In all fairness, this can be a major problem for those that do not know about it. Frankly, a tourist would likely be better off with a rental from a private rental company where they can have the terms clearly explained to them. However, if you live or work in NYC, there is no better bike option. All bikes are in good to great condition, and they do exactly what they are designed to do - give you access to a bike for a short commute within the city. Having the App is essential since it is the only way to know where the bikes are, and where you can dock them when you are done. I found customer service to be completely professional whenever I call and I have no complaints. The Citi Bike has saved me thousands of dollars in the years that I have been using it, and given me hundreds of hours of pleasure! Know the rules before you go, have the app on your smartphone and enjoy!"
chubbco,"Santa Barbara, California",5,08/24/2017,Citi Bike lets you feel the city like no other.,"I lived in NYC in the 70s and thought I knew it. Citi Bike has opened a new city to me. If you're visiting and are thinking about Citi Bike I urge you to try it. Be careful but don't be afraid. It's the greatest way to get around and to see New York. Check the pricing on the passes, I come to NY often enough that I have an annual pass so I don't have to worry about it, but reading the other reviews, I can see that some people got surprised b/c they bought the wrong pass (the ""day pass"" sounds like you're renting a bike for the day but you're not!),"
vernona719,"Silver Spring, Maryland",5,08/16/2017,A great way to get around NYC,"I am a confident commuter cyclist but was very leery of riding in NYC. After passing up several chances in the past, on a free efternoon i bit the bullet and rented a citibike hoping to have time to take in more of NYC tha i vpuld manage on foot. What a great choice. Renting the bike with a credit card was straightforward. I rode up to Central park and turned the bike in, you can't keep the same bike for over 30 min w/o incurring a surcharge. After looking at the statues, i checked out another bike (no new charge, the rental is good for 24 hrs.) And had the most pleasant ride around the park. Again i checked in the bike on cental park west. After scoping out a marked path to the Hudson River greenway, i checked out another bike and headed south, a pleasant ride on a multi use pathway. I was pleasantly surprised how comfortable and functional the 3-speed bikes were. The seats are easily adjutable to approximate a fit. There are no significant hills that require a lower gear. I will certainly plan to use Citibike as an alternative transportation when returning to NY."
Rich S,"Delray Beach, Florida",5,08/14/2017,We LOVE Citi Bike. Don't make the mistake the bad reviews made and you'll have a blast!!,"We were in NYC to see a concert this week (August 10, 2017). We were near Central Park and decided to rent a Citi Bike. We made the same mistake the people in the bad reviews did, and I understand why they're unhappy. Pick the wrong rental plan and you'll be charged a small fortune. Citi offers a 'Day Pass' and an hourly pass. The Day Pass is not what it sounds like. It is meant for frequent short (30 minute or less) trips throughout the day. It's meant for locals running errands, shoppers, commuters, etc. Keep the bike for longer than 30 minutes and they charge you $4 every 15 minutes. The Day Pass is not what you want when you're on vacation, even though it sounds like it is. We made this mistake since I never read the fine print (which isn't easy on a smart phone, but...). The hourly pass charges $4 an hour, and the clock stops running when you check the bike back into a rack. When you want to ride again you pick up another bike anywhere and the meter starts running again. It's set up so you can shop, have lunch or just relax and only be charged for your actual riding time.Once we figured out that we had the wrong plan (my wife does read the fine print ;-), we went to the Citi kiosk at the south end of Central Park, where we met Tammy, a Citi Bike representative. She was awesome!! She explained the different passes, and told us why the hourly pass was what we needed. She called customer service and got our day pass refunded (minus a charge for the overtime we had run up) and got us set up with the hourly pass. She also told us a lot of great places to ride, gave us a map of the city and the Citi Bike locations, and told us about the NYC CitiStreets festival scheduled for the next day. We wound up staying overnight, renting a bike the next morning and riding down Park Ave (closed to traffic that day) and over the Brooklyn Bridge. Tammy helped me have on of my best birthdays ever- my wife and I can't say enough good things about her. She rocks, and she made us Citibike fans forever."
mindp2016,"Norwalk, Iowa",1,08/08/2017,Don't rent bikes!! ,"DO NOT RENT: Very very disappointed in this service. They put hold of $104 on what ever card you use. I rented 2 bikes so that was basically $210 from my account that was frozen. This caused a HUGE problem since I have a daily limit, which doesn't work so good when I'm on vacation in NY. The deposit info isn't listed clearly on the rental stand. Once customer service was notified, they said we needed to read the waiver all 50 pages of it, despite a line of 5 people behind my group. The first CSR hung up on me after asking to speak to a manager. The 2nd CSR was so rude! I recommend renting a bike from 1 of the other vendors. The worst part of my vacation. NY was an incredible vacation for me and my friends. Sadly, this caused all 6 of us stress! "
Urvi C,,1,08/07/2017,Got charged ~100$ overtime fees on a daily pass!!!! :(,"I got a Citibike on Sunday. Since this was my first time ever using one, I called a customer care from bike stand. I mentioned to her that I have never used this service before and was in a rush. I asked her about the plans they offer and if I can take the bike on hourly basis. She mentioned that they only have 1 day, 3 days, monthly and annual plans. Since I needed the bike only for few hours, I went with a daily pass. The customer care representative asked me to spot a kiosk nearby to complete the transaction. What she ignored telling me is that the bike needs to be docked every 30 minutes to a bike stand to avoid a late fee. On returning the bike, I saw a humungous charge on my credit card of 100+. On calling customer care multiple times, every time I was told curtly that 'you need to plan your trip accordingly, '12$ is for system use', 'there is nothing we can do' etc. They adjusted the charge nominally on requesting a first-time courtesy but did not do it completely.This bike service is a complete scam and rip off. The customer agents are rude and this company is in business of making money based on customer's ignorance. With the amount of money they charged me, I could have bought an actual bike and used it forever! I want to question the rationale for this policy. If this is for bike sharing, the customers should be charged overtime only when the bikes there are less bikes available at the stand (similar to demand based pricing of Uber). The whole bike stand where I took the bike from was full! It pains to know that a large bank like Citi is sponsoring such an unethical company bike company! It seems both are not able to earn money by fair and regular business and adopting to such practices. Are consumer agencies listening to customer's plights and can this unfair policy be changed?Why am I being subject to something I was not aware of? Something that the customer care did not care to explain to me completely? I could have opted not to ride the bike that day. How does the charge of $ 100+ plus taxes justify using the bike for few hours in addition to paying a daily rate of $12 plus taxes and being liable for 1200$ for a lost or stolen bike? The company needs to train the customer service agents to give complete information and change the unfair overtime fees policy.I am simply not prepared and ‘cannot afford’ to pay 112$ as a bike rental for a day. I am sure others like you value your hard-earned money as well."
